GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2019;05358;    Düren, Kreis;6;1930;2;988;-;-;4;942
31.12.2019;05362;    Rhein-Erft-Kreis;8;1410;-;-;2;189;6;1221
31.12.2019;05366;    Euskirchen, Kreis;3;1133;1;523;-;-;2;610
31.12.2019;05370;    Heinsberg, Kreis;4;964;1;187;-;-;3;777
31.12.2019;05374;    Oberbergischer Kreis;6;1608;1;969;3;234;2;405
31.12.2019;05378;    Rheinisch-Bergischer Kreis;4;1169;2;235;-;-;2;934
31.12.2019;05382;    Rhein-Sieg-Kreis;6;1257;-;-;2;508;4;749
31.12.2019;055;  Münster, Regierungsbezirk;52;17192;7;3451;2;171;43;13570
31.12.2019;05512;    Bottrop, krfr. Stadt;2;684;-;-;-;-;2;684
31.12.2019;05513;    Gelsenkirchen, krfr. Stadt;5;1803;1;380;-;-;4;1423
31.12.2019;05515;    Münster, krfr. Stadt;9;3753;2;1685;-;-;7;2068
31.12.2019;05554;    Borken, Kreis;7;2014;-;-;-;-;7;2014
31.12.2019;05558;    Coesfeld, Kreis;3;916;-;-;-;-;3;916
31.12.2019;05562;    Recklinghausen, Kreis;12;4526;3;1065;-;-;9;3461
31.12.2019;05566;    Steinfurt, Kreis;8;2125;1;321;1;171;6;1633
31.12.2019;05570;    Warendorf, Kreis;6;1371;-;-;1;-;5;1371
31.12.2019;057;  Detmold, Regierungsbezirk;32;12313;12;5940;8;490;12;5883
31.12.2019;05711;    Bielefeld, krfr. Stadt;5;3251;1;1104;1;17;3;2130
31.12.2019;05754;    Gütersloh, Kreis;3;1329;2;745;-;-;1;584
31.12.2019;05758;    Herford, Kreis;3;1143;1;799;-;-;2;344
31.12.2019;05762;    Höxter, Kreis;2;1025;-;-;1;139;1;886
31.12.2019;05766;    Lippe, Kreis;6;1417;2;1206;4;211;-;-
31.12.2019;05770;    Minden-Lübbecke, Kreis;8;2298;4;1658;2;123;2;517
31.12.2019;05774;    Paderborn, Kreis;5;1850;2;428;-;-;3;1422
31.12.2019;059;  Arnsberg, Regierungsbezirk;84;26685;22;7702;8;1283;54;17700
31.12.2019;05911;    Bochum, krfr. Stadt;7;3238;3;1137;1;161;3;1940
31.12.2019;05913;    Dortmund, krfr. Stadt;10;3948;5;2342;-;-;5;1606
31.12.2019;05914;    Hagen, krfr. Stadt;4;1481;-;-;1;80;3;1401
31.12.2019;05915;    Hamm, krfr. Stadt;5;1751;1;110;-;-;4;1641
31.12.2019;05916;    Herne, krfr. Stadt;5;1632;-;-;-;-;5;1632
31.12.2019;05954;    Ennepe-Ruhr-Kreis;7;1869;-;-;1;401;6;1468
31.12.2019;05958;    Hochsauerlandkreis;10;2138;3;433;1;54;6;1651
31.12.2019;05962;    Märkischer Kreis;11;2795;5;1527;2;162;4;1106
31.12.2019;05966;    Olpe, Kreis;2;851;-;-;1;301;1;550
31.12.2019;05970;    Siegen-Wittgenstein, Kreis;6;2196;1;618;1;124;4;1454
31.12.2019;05974;    Soest, Kreis;9;2096;3;736;-;-;6;1360
31.12.2019;05978;    Unna, Kreis;8;2690;1;799;-;-;7;1891
31.12.2018;05;Nordrhein-Westfalen;345;119595;78;38218;42;9131;225;72246
31.12.2018;051;  Düsseldorf, Regierungsbezirk;97;36323;18;8330;15;6225;64;21768
31.12.2018;05111;    Düsseldorf, krfr. Stadt;13;5014;2;1831;4;808;7;2375
31.12.2018;05112;    Duisburg, krfr. Stadt;8;4597;1;332;2;1676;5;2589
31.12.2018;05113;    Essen, krfr. Stadt;12;5593;3;1795;1;19;8;3779
31.12.2018;05114;    Krefeld, krfr. Stadt;4;2118;-;-;1;1170;3;948
31.12.2018;05116;    Mönchengladbach, krfr. Stadt;5;2197;2;783;-;-;3;1414
31.12.2018;05117;    Mülheim an der Ruhr, krfr. Stadt;2;955;-;-;-;-;2;955
