;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2003;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2003;05362;    Rhein-Erft-Kreis;9;1562;-;-;3;203;6;1359
31.12.2003;05374;    Oberbergischer Kreis;7;1832;3;1116;-;-;4;716
31.12.2003;05378;    Rheinisch-Bergischer Kreis;5;1224;-;-;-;-;5;1224
31.12.2003;05382;    Rhein-Sieg-Kreis;10;1785;1;380;-;-;9;1405
31.12.2003;05954;    Ennepe-Ruhr-Kreis;10;2522;-;-;1;104;9;2418
31.12.2003;05958;    Hochsauerlandkreis;17;2281;4;637;4;139;9;1505
31.12.2003;05962;    Märkischer Kreis;14;3443;4;1559;2;184;8;1700
31.12.2002;05;Nordrhein-Westfalen;461;134071;90;41656;40;2337;331;90078
31.12.2002;05162;    Rhein-Kreis Neuss;9;2222;3;1301;1;23;5;898
31.12.2002;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2002;05362;    Rhein-Erft-Kreis;9;1562;-;-;3;203;6;1359
31.12.2002;05374;    Oberbergischer Kreis;7;1829;3;1116;-;-;4;713
31.12.2002;05378;    Rheinisch-Bergischer Kreis;5;1194;-;-;-;-;5;1194
31.12.2002;05382;    Rhein-Sieg-Kreis;10;1787;1;380;-;-;9;1407
31.12.2002;05954;    Ennepe-Ruhr-Kreis;10;2532;-;-;1;104;9;2428
31.12.2002;05958;    Hochsauerlandkreis;18;2407;4;655;4;139;10;1613
31.12.2002;05962;    Märkischer Kreis;14;3450;4;1565;2;184;8;1701
__________
Stand: 22.11.2023 / 11:55:39
